iso3,country,subregion
DZA,Algeria,North Africa
AGO,Angola,Central/Southern Africa
BEN,Benin,West Africa
BWA,Botswana,Southern Africa
BFA,Burkina Faso,West Africa
BDI,Burundi,East Africa
CPV,Cabo Verde,West Africa
CMR,Cameroon,Central Africa
CAF,Central African Republic,Central Africa
TCD,Chad,Central Africa
COM,Comoros,East Africa
COG,Republic of the Congo,Central Africa
COD,Democratic Republic of the Congo,Central Africa
CIV,Cote d'Ivoire,West Africa
DJI,Djibouti,East Africa
EGY,Egypt,North Africa
GNQ,Equatorial Guinea,Central Africa
ERI,Eritrea,East Africa
SWZ,Eswatini,Southern Africa
ETH,Ethiopia,East Africa
GAB,Gabon,Central Africa
GMB,Gambia,West Africa
GHA,Ghana,West Africa
GIN,Guinea,West Africa
GNB,Guinea-Bissau,West Africa
KEN,Kenya,East Africa
LSO,Lesotho,Southern Africa
LBR,Liberia,West Africa
LBY,Libya,North Africa
MDG,Madagascar,East Africa
MWI,Malawi,Southern Africa
MLI,Mali,West Africa
MRT,Mauritania,West Africa
MUS,Mauritius,East Africa
MAR,Morocco,North Africa
MOZ,Mozambique,Southern Africa
NAM,Namibia,Southern Africa
NER,Niger,West Africa
NGA,Nigeria,West Africa
RWA,Rwanda,East Africa
STP,Sao Tome and Principe,Central Africa
SEN,Senegal,West Africa
SYC,Seychelles,East Africa
SLE,Sierra Leone,West Africa
SOM,Somalia,East Africa
ZAF,South Africa,Southern Africa
SSD,South Sudan,East Africa
SDN,Sudan,East Africa
TZA,Tanzania,East Africa
TGO,Togo,West Africa
TUN,Tunisia,North Africa
UGA,Uganda,East Africa
ZMB,Zambia,Southern Africa
ZWE,Zimbabwe,Southern Africa
